type,layer,text,x,y,rotation,height
MTEXT,0,{\Fisocp|c0;01},738722.4799042227,62532.3109644036,0.0,
MTEXT,0,36,734843.1295113665,62778.56963957566,0.0,
MTEXT,0,37,734843.1295113666,62532.3109644022,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471203,64937.35553972147,0.0,
MTEXT,0,28,734843.1295113664,64965.27024287431,0.0,
MTEXT,0,{\Fisocp|c0;02},738722.4799042225,64908.64777229624,0.0,
MTEXT,0,{\Fisocp|c0;PNUEMATIC OPERATED SWITCH RH- FOR OWN},735642.5856286192,64887.10752848667,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.2016960003,64908.64777229646,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738359.9333499252,64908.64777229671,0.0,
MTEXT,0,31,734843.1295113672,64244.04060189992,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471213,64248.33918412328,0.0,
MTEXT,0,{\Fisocp|c0;04},738722.4799042233,64244.04060190178,0.0,
MTEXT,0,{\Fisocp|c0;STOPPER-FOR OWN},735642.58562862,64243.50062269818,0.0,
MTEXT,0,{\Fisocp|c0;-},737921.2016960011,64244.040601902,0.0,
